hostname,os,environment,country,node
LPIRL001,Linux,Production,Ireland,1
ATITA001,AIX,Testing,Italy,1
STDEU001,Solaris,Testing,Germany,1
ADITA001,AIX,Development,Italy,1
HDFRA001,HP-UX,Development,France,1
LDFRA001,Linux,Development,France,1
APNOR001,AIX,Production,Norway,1
LDFRA002,Linux,Development,France,2
SSIRL001,Solaris,Staging,Ireland,1
LDFRA003,Linux,Development,France,3
SPESP001,Solaris,Production,Spain,1
LPIRL002,Linux,Production,Ireland,2
ATFRA001,AIX,Testing,France,1
LTDEU001,Linux,Testing,Germany,1
ASDEU001,AIX,Staging,Germany,1
APIRL001,AIX,Production,Ireland,1
APITA001,AIX,Production,Italy,1
LIESP001,Linux,Integration,Spain,1
LTITA001,Linux,Testing,Italy,1
AIDEU001,AIX,Integration,Germany,1
LSIRL001,Linux,Staging,Ireland,1
SDFRA001,Solaris,Development,France,1
ASDEU002,AIX,Staging,Germany,2
ASESP001,AIX,Staging,Spain,1
SSIRL002,Solaris,Staging,Ireland,2
LTITA002,Linux,Testing,Italy,2
SPDEU001,Solaris,Production,Germany,1
LTITA003,Linux,Testing,Italy,3
LIITA001,Linux,Integration,Italy,1
ATITA002,AIX,Testing,Italy,2
LSITA001,Linux,Staging,Italy,1
ADDEU001,AIX,Development,Germany,1
STDEU002,Solaris,Testing,Germany,2
SIESP001,Solaris,Integration,Spain,1
HPITA001,HP-UX,Production,Italy,1
SSESP001,Solaris,Staging,Spain,1
LTITA004,Linux,Testing,Italy,4
LPITA001,Linux,Production,Italy,1
ASITA001,AIX,Staging,Italy,1
SPESP002,Solaris,Production,Spain,2
LSIRL002,Linux,Staging,Ireland,2
STESP001,Solaris,Testing,Spain,1
SPITA001,Solaris,Production,Italy,1
SPESP003,Solaris,Production,Spain,3
ASNOR001,AIX,Staging,Norway,1
LPIRL003,Linux,Production,Ireland,3
APITA002,AIX,Production,Italy,2
SPDEU002,Solaris,Production,Germany,2
STFRA001,Solaris,Testing,France,1
SDESP001,Solaris,Development,Spain,1
LPESP001,Linux,Production,Spain,1
APESP001,AIX,Production,Spain,1
HTIRL001,HP-UX,Testing,Ireland,1
LSIRL003,Linux,Staging,Ireland,3
APIRL002,AIX,Production,Ireland,2
LPITA002,Linux,Production,Italy,2
SPDEU003,Solaris,Production,Germany,3
STESP002,Solaris,Testing,Spain,2
HIESP001,HP-UX,Integration,Spain,1
LPIRL004,Linux,Production,Ireland,4
SPITA002,Solaris,Production,Italy,2
LIDEU001,Linux,Integration,Germany,1
SPNOR001,Solaris,Production,Norway,1
STDEU003,Solaris,Testing,Germany,3
LSDEU001,Linux,Staging,Germany,1
SPESP004,Solaris,Production,Spain,4
LTDEU002,Linux,Testing,Germany,2
APDEU001,AIX,Production,Germany,1
LDDEU001,Linux,Development,Germany,1
LTIRL001,Linux,Testing,Ireland,1
ATIRL001,AIX,Testing,Ireland,1
HPESP001,HP-UX,Production,Spain,1
LPITA003,Linux,Production,Italy,3
SSESP002,Solaris,Staging,Spain,2
SDDEU001,Solaris,Development,Germany,1
HPIRL001,HP-UX,Production,Ireland,1
AIESP001,AIX,Integration,Spain,1
LPDEU001,Linux,Production,Germany,1
LSFRA001,Linux,Staging,France,1
STDEU004,Solaris,Testing,Germany,4
LSDEU002,Linux,Staging,Germany,2
SPIRL001,Solaris,Production,Ireland,1
ATESP001,AIX,Testing,Spain,1
SSDEU001,Solaris,Staging,Germany,1
ATITA003,AIX,Testing,Italy,3
LPIRL005,Linux,Production,Ireland,5
SSITA001,Solaris,Staging,Italy,1
APIRL003,AIX,Production,Ireland,3
LTDEU003,Linux,Testing,Germany,3
LIDEU002,Linux,Integration,Germany,2
LTITA005,Linux,Testing,Italy,5
ATIRL002,AIX,Testing,Ireland,2
LIIRL001,Linux,Integration,Ireland,1
LPITA004,Linux,Production,Italy,4
LTIRL002,Linux,Testing,Ireland,2
ADITA002,AIX,Development,Italy,2
LTIRL003,Linux,Testing,Ireland,3
SPFRA001,Solaris,Production,France,1
SIITA001,Solaris,Integration,Italy,1
LPIRL006,Linux,Production,Ireland,6
ATESP002,AIX,Testing,Spain,2
LPDEU002,Linux,Production,Germany,2
LPESP002,Linux,Production,Spain,2
LINOR001,Linux,Integration,Norway,1
SPITA003,Solaris,Production,Italy,3
LSIRL004,Linux,Staging,Ireland,4
LIIRL002,Linux,Integration,Ireland,2
LPIRL007,Linux,Production,Ireland,7
SPITA004,Solaris,Production,Italy,4
STITA001,Solaris,Testing,Italy,1
HIESP002,HP-UX,Integration,Spain,2
