id_log,id_host,timestamp,request_type,response_time_ms,status_code,user
0,LPIRL001,2024-08-01 14:55:05,GET,38,200,user105
1,LPIRL001,2025-06-09 14:35:33,POST,236,200,user096
2,LPIRL001,2024-06-18 19:42:26,GET,112,200,user575
3,LPIRL001,2024-06-03 10:36:08,POST,75,200,user285
4,LPIRL001,2025-09-20 16:52:38,PUT,1,400,user164
5,LPIRL001,2025-06-26 06:15:41,GET,10,400,user105
6,LPIRL001,2024-03-13 00:54:28,GET,40,200,user353
7,LPIRL001,2025-04-13 22:16:08,GET,254,200,user945
8,LPIRL001,2024-10-21 00:23:32,GET,106,200,user644
9,LPIRL001,2025-04-25 10:02:37,PUT,102,200,user678
10,LPIRL001,2024-06-26 00:19:54,POST,27,500,user876
11,LPIRL001,2024-06-29 19:32:11,PUT,310,404,user167
12,LPIRL001,2024-10-14 12:40:24,GET,216,200,user719
13,LPIRL001,2025-06-14 22:15:07,GET,1,201,user168
14,LPIRL001,2024-12-25 01:09:17,GET,1,500,user656
15,LPIRL001,2025-06-18 12:16:07,GET,1,400,user235
16,LPIRL001,2025-09-30 07:30:38,GET,1,200,user275
17,LPIRL001,2024-02-21 09:50:42,GET,170,200,user672
18,LPIRL001,2025-01-22 18:20:42,GET,20,404,user470
19,LPIRL001,2024-04-20 23:19:10,GET,35,200,user599
20,LPIRL001,2024-11-28 18:35:07,PUT,158,200,user225
21,LPIRL001,2024-04-17 10:41:26,GET,28,200,user643
22,LPIRL001,2024-05-04 06:16:50,POST,42,200,user066
23,LPIRL001,2024-10-25 20:34:57,GET,106,404,user882
24,LPIRL001,2024-01-09 22:01:18,GET,59,200,user907
25,LPIRL001,2025-02-21 01:51:08,POST,159,200,user162
26,LPIRL001,2024-12-18 10:01:22,GET,1,201,user737
27,LPIRL001,2024-07-23 13:55:39,DELETE,76,200,user641
28,LPIRL001,2024-08-19 19:24:50,POST,30,200,user204
29,LPIRL001,2024-04-28 17:07:49,GET,70,404,user941
30,LPIRL001,2024-01-01 10:39:39,GET,198,200,user115
31,LPIRL001,2024-10-08 22:27:06,PUT,39,200,user900
32,LPIRL001,2025-03-16 16:17:59,PUT,1,200,user498
33,LPIRL001,2025-09-25 19:46:33,GET,303,200,user487
34,LPIRL001,2025-03-03 01:04:54,GET,252,200,user622
35,LPIRL001,2024-11-24 15:51:46,DELETE,240,200,user731
36,LPIRL001,2024-08-30 02:48:46,GET,1,200,user383
37,LPIRL001,2024-12-06 06:46:38,PUT,1,200,user022
38,LPIRL001,2025-04-01 22:52:09,GET,126,200,user008
39,LPIRL001,2024-02-25 03:24:25,POST,75,200,user339
40,LPIRL001,2024-02-25 00:52:36,GET,19,200,user498
41,LPIRL001,2024-06-15 09:39:48,GET,51,200,user249
42,LPIRL001,2025-09-01 10:21:58,GET,1,200,user097
43,LPIRL001,2024-03-16 06:55:16,GET,208,404,user056
44,LPIRL001,2025-06-07 00:25:29,GET,70,200,user063
45,LPIRL001,2024-11-08 17:24:16,POST,116,200,user550
46,LPIRL001,2024-12-14 10:45:45,GET,14,200,user474
47,LPIRL001,2024-07-13 00:43:46,PUT,154,404,user101
48,LPIRL001,2024-02-09 07:02:05,GET,120,200,user016
49,LPIRL001,2024-03-13 10:32:38,PUT,37,200,user219
50,LPIRL001,2024-11-07 11:55:58,PUT,324,200,user003
51,LPIRL001,2024-10-30 05:59:20,GET,160,200,user981
52,LPIRL001,2025-07-21 09:36:21,DELETE,226,200,user736
53,LPIRL001,2025-01-13 00:12:45,GET,187,200,user556
54,LPIRL001,2024-02-17 08:19:53,POST,217,200,user599
55,LPIRL001,2025-01-05 07:58:55,GET,272,404,user083
56,LPIRL001,2024-05-24 08:01:42,GET,1,200,user883
57,LPIRL001,2024-07-01 16:31:06,GET,82,200,user041
58,LPIRL001,2025-04-26 02:06:29,GET,1,200,user579
59,LPIRL001,2025-02-10 01:22:34,GET,34,200,user272
60,LPIRL001,2024-11-03 09:58:58,GET,123,200,user469
61,LPIRL001,2024-09-02 13:58:12,PUT,37,200,user577
62,LPIRL001,2024-03-18 15:47:08,GET,173,200,user272
63,LPIRL001,2024-04-12 21:10:09,PUT,119,200,user162
64,LPIRL001,2024-12-06 08:21:08,POST,1,201,user627
65,LPIRL001,2025-09-18 21:26:00,GET,170,200,user680
66,LPIRL001,2024-03-21 10:59:32,PUT,19,200,user119
67,LPIRL001,2024-03-24 03:17:42,POST,184,200,user352
